Date,Close,Volume,PriceRange
2016-02-05,133.05,8657020,4.61
2016-02-12,130.3,6585738,8.77
2016-02-19,133.94,3922721,6.53
2016-02-26,141.25,4889265,7.93
2016-03-04,138.94,5898083,5.2
2016-03-11,144.62,5494001,6.81
2016-03-18,139.53,4602290,9.08
2016-03-25,137.95,2239596,3.04
2016-04-01,137.16,5948457,5.08
2016-04-08,130.41,12267158,12.21
2016-04-15,136.65,7460944,9.56
2016-04-22,141.82,4884854,6.98
2016-04-29,138.54,4422362,4.49
2016-05-06,130.85,5790868,10.74
2016-05-13,128.36,6891029,7.68
2016-05-20,131.28,5964064,4.11
2016-05-27,128.82,14116605,6.04
2016-06-03,129.7,6633597,4
2016-06-10,128.08,5440002,4.21
2016-06-17,129.5,6725894,5.5
2016-06-24,127.71,9958671,3.8
2016-07-01,128.27,8768531,8.88
2016-07-08,129.6,7062625,4.56
2016-07-15,131.67,8089587,5.48
2016-07-22,146,16257233,19.85
2016-07-29,128.96,15609210,18.7
2016-08-05,128.5,9163028,7.94
2016-08-12,133.31,8128726,8.03
2016-08-19,133,6990514,3.35
2016-08-26,127.65,4880012,7.99
2016-09-02,128.18,3208414,2.07
2016-09-09,128.45,4622250,2.92
2016-09-16,131.99,7525631,6.86
2016-09-23,131,5263981,3.6
2016-09-30,130.32,4683960,3.97
2016-10-07,127.23,3905551,3.66
2016-10-14,120.9,5962758,7.91
2016-10-21,124.18,6374489,8.51
2016-10-28,121.62,4830450,3.71
2016-11-04,121.65,9027946,8.3
2016-11-11,133.67,9805076,16.16
2016-11-18,138.7,6499997,8.9
2016-11-25,138.67,3685744,5.44
2016-12-02,133.44,7709843,7.32
2016-12-09,134.8,6437606,6.92
2016-12-16,136.76,7026951,6.67
2016-12-23,138.61,4579715,4.28
2016-12-30,133.39,3151160,7.59
2017-01-06,141.81,5081256,9.49
2017-01-13,146.31,6864595,6.89
2017-01-20,144.77,6926578,12.79
2017-01-27,146.81,6167236,6.98
2017-02-03,149.3,5580845,6.66
2017-02-10,145.55,6933916,4.22
2017-02-17,143.56,8843847,6.15
2017-02-24,147.04,5765783,4.76
2017-03-03,151.99,7175514,6.74
2017-03-10,151.92,6579955,3.56
2017-03-17,151.89,6795936,3.94
2017-03-24,145.82,7482870,8.05
2017-03-31,146.49,5993155,5.09
2017-04-07,152.04,7295017,5.57
2017-04-14,150.41,3887548,3.42
2017-04-21,155.08,5385953,7.11
2017-04-28,156.37,5293226,6.18
2017-05-05,160.25,5994366,6.25
2017-05-12,162.03,6594211,4.77
2017-05-19,159.48,7585609,4.64
2017-05-26,161.32,6373122,5.49
2017-06-02,164.46,5828761,4.4
2017-06-09,166.74,11149281,6.11
2017-06-16,169.08,7245046,5.79
2017-06-23,169.61,11241599,4.31
2017-06-30,167.39,7254378,3.85
2017-07-07,169.61,5801393,3.58
2017-07-14,173.8,6354064,5.81
2017-07-21,174.23,5261837,4.36
2017-07-28,173.97,4800449,4.88
2017-08-04,172.55,6575985,7.95
2017-08-11,174.38,6627398,6.07
2017-08-18,177.03,5177753,5.39
2017-08-25,179.3,5026365,4.15
2017-09-01,183.17,5224747,4.81
2017-09-08,184.56,5056800,4
2017-09-15,186.05,7953027,3.71
2017-09-22,182.74,7314054,6.43
2017-09-29,186.94,5313867,6.55
2017-10-06,190.95,5807235,6.67
2017-10-13,186.15,6206418,7.82
2017-10-20,191.42,9698361,8.71
2017-10-27,201.94,7324935,11.21
2017-11-03,201.9,7293967,9.47
2017-11-10,197.98,6852576,10.08
2017-11-17,197.97,5945636,6.09
2017-11-24,200.6,3152615,4.49
2017-12-01,208.41,8431743,13.29
2017-12-08,209.97,5860446,9.3
