Date,Close,Volume,PriceRange,Quarter,Quarter Close,Home Fitness Equipment Salse,"Revenue of the fitness, health and gym club industry",Health Club Membership ,Number of Health Clubs,Fitness App Market Size,Fitness Industry Businesses,Digital Health Investment,Fitness Center Machine Sales,B2B Sports Nutrition Market,Quarter Dolla Strength
44575,328.98,10730523,31.35,,,,,,,,,,,,
44582,313.02,5467807,27.63,,,,,,,,,,,,
44589,315.91,8021923,26.2,,,,,,,,,,,,
44596,336.37,8604419,37.21,,,,,,,,,,,,
44603,316.72,4639907,28.29,,,,,,,,,,,,
44610,308.66,4264141,15.7,,,,,,,,,,,,
44617,317.58,4733442,35.21,,,,,,,,,,,,
44624,320.58,6107725,20.17,,,,,,,,,,,,
44631,291.55,6577448,33.09,,,,,,,,,,,,
44638,316.93,6577246,39.53,,,,,,,,,,,,
44645,321.14,5588188,18.34,,,,,,,,,,,,
44652,367.44,17087647,69.29,,,,,,,,,,,,
44659,369.46,7316912,19.4,,,,,,,,,,,,
44666,390.78,6746365,37.43,,,,,,,,,,,,
44673,363.66,8473618,48.04,,,,,,,,,,,,
44680,354.63,5821454,21.31,,,,,,,,,,,,
44687,317.05,6327011,55.79,,,,,,,,,,,,
44694,309.29,7616865,31.45,,,,,,,,,,,,
44701,274.04,8632029,53.29,,,,,,,,,,,,
44708,293.65,9942526,46.05,,,,,,,,,,,,
44715,300.8,13453016,19.11,,,,,,,,,,,,
44722,291.6,6142727,22.83,,,,,,,,,,,,
44729,278.13,6290556,22.34,,,,,,,,,,,,
44736,293.36,4523917,24.36,,,,,,,,,,,,
44743,263.38,5886856,36.03,,,,,,,,,,,,
44750,293.39,5196826,36.7,,,,,,,,,,,,
44757,286.41,4548373,17.95,,,,,,,,,,,,
44764,304.5,4284699,29.21,,,,,,,,,,,,
44771,310.51,5625334,29.29,,,,,,,,,,,,
44778,317.8,4291862,17.84,,,,,,,,,,,,
44785,321.69,4331342,25.94,,,,,,,,,,,,
44792,322.47,4573848,15.57,,,,,,,,,,,,
44799,311.31,3848390,14.76,,,,,,,,,,,,
44806,314.17,16535118,46.33,,,,,,,,,,,,
44813,348.65,10933582,43.2,,,,,,,,,,,,
44820,333.24,6654378,23.1,,,,,,,,,,,,
44827,293.2,6810428,48.19,,,,,,,,,,,,
44834,279.56,8917087,33.39,,,,,,,,,,,,
44841,298.22,6931388,35.15,,,,,,,,,,,,
44848,288.78,8429218,25.18,,,,,,,,,,,,
44855,298.63,6795025,19.87,,,,,,,,,,,,
44862,328.48,8271885,41.84,,,,,,,,,,,,
44869,325.57,5566725,26.62,,,,,,,,,,,,
44876,359.7,7894533,52.86,,,,,,,,,,,,
44883,347.85,5937601,24.24,,,,,,,,,,,,
44890,361.16,3291751,21.78,,,,,,,,,,,,
44897,385.99,6719795,25.37,,,,,,,,,,,,
44904,326.39,16936032,60.99,,,,,,,,,,,,
44911,321.24,13800295,21.62,,,,,,,,,,,,
44918,311.54,8359767,14.93,,,,,,,,,,,,
44925,320.38,5027894,12.84,,,,,,,,,,,,
